temps parametre x y vx vy barycentrex barycentrey
0.25 0.0643598 151.461 599.566 -1.79312 2.34706 73.0458 654.957
0.5 0.0923835 137.386 608.846 -2.90487 0.277405 91.853 653.051
0.75 0.15227 119.486 612.072 -3.20927 0.768797 66.2658 637.581
1 0.143197 101.843 610.838 -2.46235 -0.970289 32.3294 610.228
1.25 0.148187 84.4604 605.732 -3.0427 -0.402508 52.9134 607.554
1.5 0.156263 66.7888 606.667 -3.11153 0.784991 34.5828 632.507
1.75 0.165786 49.6337 611.842 -2.6662 1.07789 31.5232 666.733
2 0.191776 39.3085 626.166 -0.88607 2.95627 40.3716 683.722
2.25 0.212564 39.6447 643.744 0.512972 2.99754 50.8259 727.71
2.5 0.194461 46.3653 660.405 0.929366 2.96647 58.679 746.511
2.75 0.171833 51.8363 676.949 -0.41397 2.65513 52.3325 774.662
3 0.220827 44.1519 692.137 -1.29831 2.498 60.3843 764.661
3.25 0.258027 45.879 709.338 -0.413514 3.04478 72.0919 779.228
3.5 0.245615 49.5438 726.57 1.83245 2.42792 86.3145 770.823
3.75 0.235145 62.6838 739.457 2.37123 2.14711 94.5506 779.578
4 0.240425 76.5335 750.982 2.20848 2.18694 111.273 778.342
4.25 0.24858 93.0341 756.548 2.81038 -0.47154 129.866 793.281
4.5 0.168941 110.536 757.303 2.74961 0.911082 141.15 800.487
4.75 0.16579 126.91 764.553 2.63435 1.50478 153.038 813.232
5 0.0417374 142.861 772.812 2.24056 1.5277 161.342 817.137
5.25 0.0385814 156.803 784.029 2.26924 1.6457 166.98 821.473
5.5 0.0228035 173.565 787.642 2.99919 -0.267751 179.75 843.055
5.75 0.024716 189.993 793.401 2.38663 2.47466 191.575 858.177
6 0.057428 202.005 806.061 2.73523 1.47149 195.335 856.941
6.25 0.0252057 215.514 818.099 2.62961 1.41569 208.737 874.069
6.5 0.0862682 230.965 827.194 2.64755 1.02998 213.032 875.795
6.75 0.0807916 247.136 834.687 2.65238 0.939679 223.585 885.625
7 0.160477 262.282 844.224 2.64976 1.14315 236.884 896.717
7.25 0.152873 273.591 857.474 1.10813 2.80707 246.833 896.941
7.5 0.143201 284.253 871.715 2.11849 2.12604 260.128 907.33
7.75 0.132232 296.4 885.12 2.42566 2.22893 272.147 910.776
